Year,County,Value
2015,WHITLEY,138.8
2015,BENTON,169.3
2015,JASPER,98.3
2015,LA PORTE,151.3
2015,LAKE,142
2015,NEWTON,110.9
2015,PORTER,151.5
2015,PULASKI,109.7
2015,STARKE,97.6
2015,WHITE,128
2015,FLOYD,158.1
2015,HARRISON,173.1
2015,JACKSON,151.6
2015,LAWRENCE,178.4
2015,MONROE,158.8
2015,ORANGE,190.5
2015,OTHER (COMBINED) COUNTIES,153.1
2015,WASHINGTON,156
2015,CLARK,162.1
2015,DEARBORN,151.9
2015,FRANKLIN,182.4
2015,JEFFERSON,151.8
2015,JENNINGS,160.3
2015,OHIO,162.5
2015,RIPLEY,158.7
2015,SCOTT,167.8
2015,SWITZERLAND,158.2
2015,DAVIESS,174.4
2015,DUBOIS,165.8
2015,GIBSON,177.1
2015,KNOX,164.5
2015,MARTIN,149.4
2015,OTHER (COMBINED) COUNTIES,162.8
2015,POSEY,190.3
2015,SPENCER,163.7
2015,SULLIVAN,163
2015,VANDERBURGH,166.4
2015,WARRICK,151.9
2015,CLAY,165.5
2015,FOUNTAIN,169.4
2015,MONTGOMERY,176.5
2015,OWEN,164.1
2015,PARKE,160.8
2015,PUTNAM,149.6
2015,TIPPECANOE,147.9
2015,VERMILLION,156.3
2015,VIGO,164
2015,WARREN,178.7
2014,BARTHOLOMEW,200.3
2014,BOONE,200.6
2014,CLINTON,214.1
2014,DECATUR,205.8
2014,GRANT,185
2014,HAMILTON,197.3
2014,HANCOCK,188.6
2014,HENDRICKS,198.5
2014,HOWARD,200.6
2014,JOHNSON,186.9
2014,MADISON,196.4
2014,MARION,178.5
2014,MORGAN,197
2014,RUSH,197.3
2014,SHELBY,187.9
2014,TIPTON,214.9
2014,BLACKFORD,157.1
2014,DELAWARE,174
2014,FAYETTE,187.4
2014,HENRY,192.9
2014,JAY,169.1
2014,RANDOLPH,179.6
2014,UNION,200
2014,WAYNE,185.2
2014,CARROLL,205.3
2014,CASS,195.9
2014,ELKHART,182
2014,FULTON,177.9
2014,KOSCIUSKO,173.5
2014,MARSHALL,183.3
2014,MIAMI,176.5
2014,ST. JOSEPH,160.8
2014,WABASH,181
2014,ADAMS,183.3
2014,ALLEN,185.8
2014,DE KALB,164.7
2014,HUNTINGTON,185.4
2014,LAGRANGE,151.2
2014,NOBLE,168.8
2014,STEUBEN,160.5
2014,WELLS,189.9
2014,WHITLEY,183.1
2014,BENTON,202.4
2014,JASPER,174.2
2014,LA PORTE,167.9
2014,LAKE,167.4
2014,NEWTON,185.1
2014,PORTER,177.1
2014,PULASKI,155.7
2014,STARKE,156.3
2014,WHITE,194.2
2014,FLOYD,152.1
2014,HARRISON,178
2014,JACKSON,171.5
2014,LAWRENCE,190.4
2014,MONROE,180.6
2014,ORANGE,196.9
2014,OTHER (COMBINED) COUNTIES,172.5
2014,PERRY,172.5
2014,WASHINGTON,180
2014,CLARK,173.3
2014,DEARBORN,165.9
2014,FRANKLIN,194.1
2014,JEFFERSON,188
2014,JENNINGS,186.6
2014,OHIO,182.8
2014,RIPLEY,178.3
2014,SCOTT,190.7
2014,SWITZERLAND,164.1
2014,DAVIESS,210.2
2014,DUBOIS,190.4
2014,GIBSON,195.3
2014,GREENE,186
2014,KNOX,194.2
2014,MARTIN,188.5
2014,PIKE,170.7
2014,POSEY,197.3
2014,SPENCER,174
2014,SULLIVAN,196
2014,VANDERBURGH,188
2014,WARRICK,175.4
2014,CLAY,200.3
2014,FOUNTAIN,204.8
2014,MONTGOMERY,205.3
2014,OTHER (COMBINED) COUNTIES,190.7
2014,PUTNAM,198.6
2014,TIPPECANOE,206.6
2014,VERMILLION,213.6
2014,WARREN,209.5
2013,BARTHOLOMEW,176.6
2013,BOONE,189.8
2013,CLINTON,191.5
2013,DECATUR,183.2
2013,GRANT,181.1
2013,HAMILTON,173.6
2013,HANCOCK,173.7
2013,HENDRICKS,183.6
2013,JOHNSON,172.9
2013,MADISON,181.1
2013,MORGAN,179.8
2013,OTHER (COMBINED) COUNTIES,189.2
2013,RUSH,193.6
2013,SHELBY,178.8
2013,TIPTON,191.2
2013,BLACKFORD,172.5
2013,DELAWARE,174.3
2013,FAYETTE,172.2
2013,OTHER (COMBINED) COUNTIES,179.1
